airport_code,airport_name,city,country,country_code,latitude,longitude,timezone,is_major_airport
UTK,Utirik Airport,Utirik Island,MH,MH,11.222219, 169.851429,OC,False
OCA,Ocean Reef Club Airport,Key Largo,US,US,25.325399, -80.274803,,False
CSE,Crested Butte Airpark,Crested Butte,US,US,38.851918, -106.928341,,False
CUS,Columbus Airport,Columbus,US,US,31.823898, -107.629924,,False
JCY,LBJ Ranch Airport,Stonewall,US,US,30.251801, -98.622498,,False
WLR,Loring Seaplane Base,Loring,US,US,55.601299, -131.636993,,False
NUP,Nunapitchuk Airport,Nunapitchuk,US,US,60.905591, -162.440454,,False
PTC,Port Alice Seaplane Base,Port Alice,US,US,55.803, -133.597,,False
ICY,Icy Bay Airport,Icy Bay,US,US,59.966269, -141.660118,,False
PPV,Port Protection Seaplane Base,Port Protection,US,US,56.3288, -133.610001,,False
KKK,Kalakaket Creek AS Airport,Kalakaket Creek,US,US,64.4166256967, -156.820392609,,False
MHS,Dunsmuir Muni-Mott Airport,Dunsmuir,US,US,41.263199, -122.272003,,False
NIR,Chase Field Industrial Airport,Beeville,US,US,28.362444, -97.661917,,False
GCT,Grand Canyon Bar Ten Airstrip,Littlefield,US,US,36.257984, -113.231063,,False
ELW,Ellamar Seaplane Base,Ellamar,US,US,60.893818, -146.704038,,False
LVD,Lime Village Airport,Lime Village,US,US,61.3591003418, -155.440002441,,False
HGZ,Hog River Airport,Hogatza,US,US,66.176133, -155.684816,,False
OTN,Ed-Air Airport,Oaktown,US,US,38.851782, -87.49987,,False
TLF,Telida Airport,Telida,US,US,63.393902, -153.268997,,False
BZT,Eagle Air Park,Brazoria,US,US,28.982200622559, -95.579696655273,,False
HBH,Entrance Island Seaplane Base,Entrance Island,US,US,57.412201, -133.43848,,False
FAK,False Island Seaplane Base,False Island,US,US,57.5321998596, -135.212997437,,False
BYW,Blakely Island Airport,Blakely Island,US,US,48.579162, -122.823844,,False
DRF,Drift River Airport,Kenai,US,US,60.588901519800004, -152.162002563,,False
BDF,Rinkenberger Restricted Landing Area,Bradford,US,US,41.230899810800004, -89.61569976810001,,False
TEH,Tetlin Airport,Tetlin,US,US,63.124618, -142.518005,,False
VRS,Roy Otten Memorial Airfield,Versailles,US,US,38.427799224854, -92.875198364258,,False
GDH,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,US,US,59.7470016479, -158.875,,False
ATT,Atmautluak Airport,Atmautluak,US,US,60.866699, -162.272996,,False
LIV,Livengood Camp Airport,Livengood,US,US,65.467, -148.6534,,False
PDB,Pedro Bay Airport,Pedro Bay,US,US,59.796925, -154.129994,,False
KOZ,Ouzinkie Airport,Ouzinkie,US,US,57.942094, -152.464314,,False
TNK,Tununak Airport,Tununak,US,US,60.569638, -165.246649,,False
WHD,Hyder Seaplane Base,Hyder,US,US,55.903324, -130.009975,,False
MNT,Minto Al Wright Airport,Minto,US,US,65.147991, -149.368658,,False
TKI,Tokeen Seaplane Base,Tokeen,US,US,55.937099, -133.326996,,False
WKK,Aleknagik / New Airport,Aleknagik,US,US,59.2826004028, -158.617996216,,False
WFB,Ketchikan Harbor Seaplane Base,Ketchikan,US,US,55.349899, -131.677002,,False
RFK,Rollang Field,Rolling Fork,US,US,32.953543, -90.845144,,False
NNK,Naknek Airport,Naknek,US,US,58.735633, -157.02216,,False
BKF,Lake Brooks Seaplane Base,Katmai National Park,US,US,58.554798, -155.776993,,False
BCS,Southern Seaplane Airport,Belle Chasse,US,US,29.866078, -90.021608,,False
MMN,Minute Man Air Field,Stow,US,US,42.460298, -71.519031,,False
SPQ,Catalina Air-Sea Terminal Heliport,San Pedro,US,US,33.7491989136, -118.275001526,,False
TSS,East 34th Street Heliport,New York,US,US,40.742372, -73.972074,,False
NYS,New York Skyports Inc Seaplane Base,New York,US,US,40.735061, -73.972814,,False
BWL,Earl Henry Airport,Blackwell,US,US,36.7958984375, -97.3170013428,,False
WYB,Yes Bay Lodge Seaplane Base,Yes Bay,US,US,55.916302, -131.800995,,False
CWS,Center Island Airport,Center Island,US,US,48.490046, -122.831612,,False
TEK,Tatitlek Airport,Tatitlek,US,US,60.871449, -146.690297,,False
DUF,Pine Island Airport,Corolla,US,US,36.252744, -75.785256,,False
SSW,Stuart Island Airpark,Friday Harbor,US,US,48.673379, -123.175439,,False
FOB,Fort Bragg Airport,Fort Bragg,US,US,39.472445, -123.795319,,False
PUL,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,US,US,47.734001159668, -122.64700317383,,False
CCD,Century City Heliport,Los Angeles,US,US,34.060798645, -118.417999268,,False
WMK,Meyers Chuck Seaplane Base,Meyers Chuck,US,US,55.739601, -132.255005,,False
AXB,Maxson Airfield,Alexandria Bay,US,US,44.312002, -75.90034,,False
REE,Reese Airpark,Lubbock,US,US,33.590301513672, -102.03700256348,,False
WDN,Waldron Airstrip,Eastsound,US,US,48.71141, -123.018208,,False
WWP,Whale Pass Seaplane Float Harbor Facility,Whale Pass,US,US,56.116299, -133.121994,,False
CHU,Chuathbaluk Airport,Chuathbaluk,US,US,61.579102, -159.216003,,False
UGS,Ugashik Airport,Ugashik,US,US,57.523476, -157.396344,,False
JID,Recreation and Conference Center Heliport,City of Industry,US,US,34.020472, -117.927396,,False
PSQ,Philadelphia Seaplane Base,Essington,US,US,39.859001159668, -75.299598693848,,False
KLL,Levelock Airport,Levelock,US,US,59.12606, -156.860906,,False
SGW,Saginaw Seaplane Base,Saginaw Bay,US,US,56.886299, -134.158005,,False
